!   Filename:    dtw007s.dgn
!   Date:        04/03/2020  4:35:04 PM
!   9900    42 12 47.0000  083 22 45.0000
!   9901    00 00 00.0000  083 22 45.0000
!   9902    43 12 47.0000  000 00 00.0000
!   9903    41 12 47.0000  000 00 00.0000
!   9904    00 00 00.0000  000 00 00.0000
!   9905    00 00 00.0000  000 00 00.0000
!   9906    00 00 00.0000  000 00 00.0000
!   9907    00 00 00.0000  000 00 00.0000
!   9908    00 00 00.0000  000 00 00.0000
!   9909    400000
LINE !
GP 42 24 20.9988  082 29 39.9984  !
GP 42 26 44.9988  082 30 47.0016  !
GP 42 29 11.0976  082 32 12.0984  !
GP 42 31 22.1592  082 33 29.8044  !
GP 42 33 42.0012  082 34 54.0012  !
GP 42 35 23.6976  082 36 26.5608  !
GP 42 37 00.2640  082 37 58.8036  !
GP 42 38 15.0288  082 39 05.7564  !
GP 42 39 27.0000  082 40 14.9988  !
LINE !
GP 42 40 12.4372  083 01 16.5598  !
GP 42 40 13.2456  083 01 15.9672  !
LINE !
GP 42 46 29.6357  083 52 40.2210  !
GP 42 46 30.0000  083 52 57.0000  !
LINE !
GP 42 53 28.8744  083 28 31.1916  !
GP 42 53 15.0000  083 31 13.0008  !
GP 42 52 50.9844  083 33 12.7332  !
GP 42 52 26.6916  083 35 14.0280  !
GP 42 51 57.1320  083 37 43.2084  !
GP 42 51 33.4800  083 39 41.7528  !
LINE !
GP 42 06 41.0085  083 18 04.1276  !
GP 42 06 13.9056  083 16 52.2055  !
LINE !
GP 41 46 57.1038  083 39 24.9215  !
GP 41 47 51.5076  083 39 01.6668  !
LINE !
GP 41 43 40.5591  083 19 20.0690  !
GP 41 42 38.2068  083 19 04.9080  !
LINE !
GP 41 43 38.0773  083 08 32.0921  !
GP 41 42 53.3808  083 09 09.4896  !
LINE !
GP 42 17 01.0200  083 32 54.8573  !
GP 42 17 50.7804  083 34 55.4484  !
LINE !
GP 42 22 14.0911  083 22 42.4308  !
GP 42 21 37.8576  083 21 15.9372  !
LINE !
GP 42 28 43.9788  083 27 40.6944  !
GP 42 28 57.7027  083 28 25.1489  !
LINE !
GP 42 30 14.6826  083 26 30.2839  !
GP 42 28 43.9788  083 27 40.6944  !
LINE !
GP 42 28 43.9788  083 27 40.6944  !
GP 42 28 56.4028  083 26 50.4969  !
LINE !
GP 42 19 01.0281  083 34 07.8821  !
GP 42 17 23.1643  083 35 14.1388  !
LINE !
GP 42 40 13.2456  083 01 15.9672  !
GP 42 40 22.3932  083 01 21.9792  !
LINE !
GP 42 18 41.6227  083 14 10.2770  !
GP 42 18 10.9676  083 13 00.7584  !
LINE !
GP 42 15 42.9491  083 07 09.3489  !
GP 42 15 15.0196  083 05 57.8317  !
LINE !
GP 42 48 39.2609  083 24 12.8016  !
GP 42 50 52.3104  083 26 17.4552  !
LINE !
GP 42 39 01.1129  084 01 01.3374  !
GP 42 37 59.7432  083 57 42.7752  !
LINE !
GP 42 36 50.3464  083 53 57.8169  !
GP 42 35 40.8271  083 50 12.9959  !
LINE !
GP 42 34 31.1855  083 46 28.3123  !
GP 42 33 48.1745  083 44 09.8115  !
LINE !
GP 42 29 53.2385  083 31 25.2533  !
GP 42 31 02.3761  083 35 09.9487  !
LINE !
GP 42 32 11.3916  083 38 54.7806  !
GP 42 32 51.0009  083 41 04.0576  !
LINE !
GP 42 28 17.9237  083 45 15.1537  !
GP 42 28 24.5807  083 41 12.1051  !
LINE !
GP 42 28 30.8519  083 37 09.0309  !
GP 42 28 36.4978  083 33 05.9216  !
LINE !
GP 42 28 42.0490  083 29 02.8022  !
GP 42 28 43.9788  083 27 40.6944  !
LINE !
GP 42 31 43.1028  083 45 04.0727  !
